date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:00:31	2650/2650	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2011%20Apr%202018%2002:46:34%20GMT	http://marianodigabriele.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=3.3.5	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min46df.js	(from http://marianodigabriele.com/)
10:00:33	9566/9566	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2011%20Apr%202018%2002:46:34%20GMT	http://marianodigabriele.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from http://marianodigabriele.com/)
10:00:36	1846/1846	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2011%20Apr%202018%2002:46:34%20GMT	http://marianodigabriele.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min6b25.js	(from http://marianodigabriele.com/)
10:00:39	562/562	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2011%20Apr%202018%2002:46:34%20GMT	http://marianodigabriele.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=3.3.5	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min46df.js	(from http://marianodigabriele.com/)
10:00:41	2568/2568	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2011%20Apr%202018%2002:46:34%20GMT	http://marianodigabriele.com/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=3.3.5	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min46df.js	(from http://marianodigabriele.com/)
10:00:45	54780/54780	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:48:45%20GMT	http://marianodigabriele.com/wp-content/themes/the-core-parent/js/jquery.carouFredSel-6.2.1-packed.js?ver=1.0.23	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/themes/the-core-parent/js/jquery.carouFredSel-6.2.1-packed982a.js	(from http://marianodigabriele.com/)
10:00:49	21592/21592	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2011%20Apr%202018%2002:46:34%20GMT	http://marianodigabriele.com/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min.js?ver=3.1.6	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min005e.js	(from http://marianodigabriele.com/)
10:00:53	2921/2921	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:48:45%20GMT	http://marianodigabriele.com/wp-content/themes/the-core-parent/js/jquery.customInput.js?ver=1.0.23	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/themes/the-core-parent/js/jquery.customInput982a.js	(from http://marianodigabriele.com/)
10:00:55	2253/2253	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:48:45%20GMT	http://marianodigabriele.com/wp-content/themes/the-core-parent/js/scrollTo.min.js?ver=1.0.23	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/themes/the-core-parent/js/scrollTo.min982a.js	(from http://marianodigabriele.com/)
10:00:58	35866/35866	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:48:45%20GMT	http://marianodigabriele.com/wp-content/themes/the-core-parent/js/jquery.mmenu.min.all.js?ver=1.0.23	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/themes/the-core-parent/js/jquery.mmenu.min.all982a.js	(from http://marianodigabriele.com/)
